주문번호,종목이름,임시,거래량,거래대금,종가,기준가
045890,GV,3183,1824808,4468,2280,2565
078150,HB테크놀러지,4556,1637315,4740,2890,2885
012630,HDC,1840,255151,3095,12300,11750
039570,HDC아이콘트롤스,950,12103,116,9590,9600
089470,HDC현대EP,406,26777,117,4415,4310
294870,HDC현대산업개발,3570,122886,3861,31650,30650
036640,HRS,334,51306,125,2450,2435
082740,HSD엔진,387,89176,295,3370,3210
299170,IBKS제10호스팩,6,2010,4,2145,2135
254120,IBKS제5호스팩,206,70360,141,2000,2040
264850,IBKS제6호스팩,43,15452,31,2040,2030
276920,IBKS제7호스팩,12,15212,32,2155,2130
003560,IHQ,1082,445921,810,1835,1795
095340,ISC,5116,352302,3606,10200,9700
099520,ITX엠투엠,217,68125,95,1395,1415
175330,JB금융지주,3050,301650,1652,5460,5400
950170,JTC,2157,101768,867,8510,8490
234080,JW생명과학,765,31489,676,21400,21250
067290,JW신약,2050,439929,1984,4445,4330
001060,JW중외제약,1052,39295,1092,27700,27300
001067,JW중외제약2우B,80,425,17,39550,39450
001065,JW중외제약우,46,637,16,26050,26000
096760,JW홀딩스,4331,289476,1713,5840,5670
024840,KBI메탈,196,46706,70,1510,1480
105560,KB금융,24432,926236,39804,42800,41950
024120,KB오토시스,46,1744,10,5690,5680
002380,KCC,4238,23793,5174,218500,213000
021320,KCC건설,165,7467,49,6500,6420
036670,KCI,295,30727,292,9530,9350
009070,KCTC,488,48757,143,2960,2895
009440,KC그린홀딩스,513,52825,217,4150,4095
119650,KC코트렐,1136,169659,1168,6900,6800
092220,KEC,601,493819,517,1050,1030
046440,KG모빌리언스,295,64188,390,6080,6050
035600,KG이니시스,3955,116105,1827,15800,15500
001390,KG케미칼,356,10711,122,11450,11300
060720,KH바텍,1736,281223,3140,11150,10900
001940,KISCO홀딩스,145,4537,57,12650,12600
122450,KMH,289,22738,119,5250,5240
052900,KMH하이텍,5982,2508277,2919,1170,1135
058400,KNN,18681,11133818,13287,1180,1145
114450,KPX생명과학,468,41807,167,4015,3950
025000,KPX케미칼,410,1602,86,53900,53200
092230,KPX홀딩스,17,121,7,54100,53900
000040,KR모터스,233,229065,116,503,504
044450,KSS해운,943,62559,452,7220,7090
030200,KT,8535,439272,11878,27000,26900
033780,KT&G,8307,127687,13107,102500,102500
030210,KTB투자증권,324,100268,249,2480,2425
036030,KTH,279,25549,158,6190,6220
058850,KTcs,510,49598,100,2015,2015
058860,KTis,137,33727,75,2225,2225
060370,KT서브마린,345,79000,240,3020,2990
093050,LF,1838,54449,1053,19400,19000
003550,LG,8021,100573,6954,69200,68600
034220,LG디스플레이,8898,1149172,16375,14250,14200
001120,LG상사,3526,126074,1996,15950,15550
051900,LG생활건강,2845,21961,27835,1262000,1272000
051905,LG생활건강우,313,941,692,736000,740000
003555,LG우,158,2105,94,44800,44800
032640,LG유플러스,15239,936899,13116,13900,13900
011070,LG이노텍,4273,104174,12118,115500,116000
066570,LG전자,10620,359155,24889,68900,68800
066575,LG전자우,837,18280,523,28500,28450
108670,LG하우시스,1518,20654,1200,58400,57900
108675,LG하우시스우,211,783,23,28750,28550
051910,LG화학,9705,146102,44408,304000,302500
051915,LG화학우,2189,11634,1936,167000,164500
079550,LIG넥스원,3268,54422,1888,34950,34500
006260,LS,5999,49810,2403,48500,46800
000680,LS네트웍스,201,25883,61,2365,2330
010120,LS산전,4348,38856,1907,49200,48500
229640,LS전선아시아,1026,38890,297,7650,7570
023150,MH에탄올,49,2103,13,6000,5980
219550,MP한강,686,324552,240,740,725
035420,NAVER,19728,246400,38219,156000,156000
160550,NEW,645,72090,284,3930,3930
053290,NE능률,267,36998,118,3200,3235
181710,NHN,4174,41711,2558,61400,61200
104200,NHN벅스,143,7400,44,6010,6010
060250,NHN한국사이버결제,5024,166348,3422,20500,20800
005940,NH투자증권,5497,511159,6458,12600,12400
005945,NH투자증권우,582,33126,300,9030,8950
034310,NICE,1398,25543,488,19100,19100
030190,NICE평가정보,2145,118523,1547,13050,13100
008260,NI스틸,3007,167600,396,2355,2390
004250,NPC,231,10994,44,4045,4070
004255,NPC우,13,1643,4,2300,2305
010060,OCI,7347,142675,10038,69900,69000
024940,PN풍년,88,20163,47,2320,2335
005490,POSCO,17062,230223,53069,229000,225500
218410,RFHIC,19655,1428354,61155,42100,44700
091340,S&K폴리텍,792,110730,710,6390,6450
100840,S&TC,568,18167,309,17100,16850
064960,S&T모티브,9121,78632,3717,47700,48000
003570,S&T중공업,133,5639,34,6020,6000
036530,S&T홀딩스,73,4290,62,14250,14300
010950,S-Oil,12261,127156,13091,102500,101500
010955,S-Oil우,427,5413,330,61000,60500
019550,SBI인베스트먼트,251,177239,116,657,648
