"체결시간","체결가","체결량"
"10:36:08 613","10600","+8"
"10:36:29 207","10600","+19"
"10:36:29 207","10600","+38"
"10:36:29 208","10600","+19"
"10:36:29 208","10600","+19"
"10:36:29 209","10600","+24"
"10:36:41 980","10550","-229"
"10:37:14 082","10600","+7"
"10:37:14 083","10600","+7"
"10:37:14 083","10600","+7"
"10:37:14 085","10600","+7"
"10:37:14 085","10600","+13"
"10:37:16 603","10600","+19"
"10:37:16 604","10600","+4"
"10:37:16 605","10600","+33"
"10:37:27 297","10600","+1"
"10:37:35 699","10600","+2"
"10:37:50 099","10600","+1"
"10:37:52 998","10600","+1"
"10:38:45 993","10600","+50"
"10:38:45 993","10600","+50"
"10:38:45 993","10600","+1"
"10:38:47 592","10600","+15"
"10:38:54 584","10600","+8"
"10:39:28 602","10600","+20"
"10:39:28 602","10600","+3"
"10:39:28 603","10600","+32"
"10:39:30 078","10600","+6"
"10:39:30 078","10600","+6"
"10:39:30 079","10600","+6"
"10:39:30 079","10600","+6"
"10:39:30 080","10600","+14"
"10:39:31 380","10600","+2"
"10:39:39 191","10550","-31"
"10:39:44 886","10600","+1"
"10:39:49 816","10600","+284"
"10:40:21 481","10600","+2"
"10:40:30 586","10600","+1"
"10:40:59 695","10600","+19"
"10:40:59 696","10600","+19"
"10:40:59 696","10600","+24"
"10:40:59 696","10600","+19"
"10:40:59 697","10600","+37"
"10:41:40 590","10600","+8"
"10:41:40 598","10600","+19"
"10:41:40 598","10600","+3"
"10:41:40 599","10600","+32"
"10:41:47 085","10600","+7"
"10:41:47 087","10600","+7"
"10:41:47 089","10600","+7"
"10:41:47 090","10600","+13"
"10:41:47 090","10600","+7"
"10:42:22 996","10600","+50"
"10:42:22 996","10600","+50"
"10:42:22 996","10600","+1"
"10:42:24 414","10600","+15"
"10:42:52 401","10600","+1"
"10:43:20 180","10600","+100"
"10:43:51 584","10600","+19"
"10:43:51 584","10600","+3"
"10:43:51 585","10600","+32"
"10:44:03 086","10600","+6"
"10:44:03 091","10600","+6"
"10:44:03 095","10600","+6"
"10:44:03 095","10600","+6"
"10:44:03 096","10600","+13"
"10:44:26 588","10600","+9"
"10:45:30 180","10600","+19"
"10:45:30 193","10600","+24"
"10:45:30 194","10600","+38"
"10:45:30 195","10600","+19"
"10:45:30 195","10600","+19"
"10:45:36 808","10600","+1"
"10:45:59 001","10600","+50"
"10:45:59 001","10600","+50"
"10:45:59 001","10600","+1"
"10:45:59 001","10600","+50"
"10:45:59 001","10600","+1"
